task_id,mu,sigma
hidden_cheese_1,0.0,0.5131296414239138
hidden_cheese_2,2.7949252293557736,0.41691460286086246
hidden_cheese_3,2.281617628831143,1.223596184612561
hidden_cheese_4,1.5332265740813142,0.4172577645883876
hidden_cheese_5,2.1547915227625425,2.221067211879169
hidden_cheese_6,3.1532781286376284,1.02328561094929
hidden_rainy_weather_1,1.594408340504105,0.46185986591028283
hidden_rainy_weather_2,1.6403521125244025,4.113832728024386
hidden_rainy_weather_3,1.8139141023225216,0.4027521492146595
hidden_rainy_weather_4,2.1574222390119275,2.7054436226190903
hidden_rainy_weather_5,4.217861611909328,2.2249269887848984
hidden_rainy_weather_6,3.2482483096671686,0.2574967034596986
hidden_cats_1,2.6782122749171795,0.3078512097962978
hidden_cats_2,2.947891877077821,1.107583631976872
hidden_cats_3,2.1675252172694184,2.2029748008499173
hidden_cats_4,0.9771130946513265,1.3411355223398218
hidden_cats_5,3.17603991046969,0.4703994490648916
hidden_cats_6,2.9491615570726966,1.850791722455458
hidden_classical_music_1,-3.1897117574665375,0.5674299928918555
hidden_classical_music_2,-3.2561728090485755,0.558306687693688
hidden_classical_music_3,-1.9807092066151297,0.6511925123997457
hidden_classical_music_4,-2.0326262062030858,0.5480256454428878
hidden_classical_music_5,-2.870575326409415,0.9286989467940084
hidden_classical_music_6,-1.4308729517469405,2.1781766764663875
hidden_gardening_1,3.533692866998731,0.41527644945049985
hidden_gardening_2,3.3304073388629063,0.7855912461114622
hidden_gardening_3,3.0316522877482814,0.7380679993572766
hidden_gardening_4,4.655380032629825,3.7106885410943105
hidden_gardening_5,3.03924319671694,0.8378948114726293
hidden_gardening_6,3.0566142841062383,1.3867318678254017
hidden_astronomy_1,-7.902336906767641,0.8749879873585513
hidden_astronomy_2,-6.976332317831559,0.9138526859340512
hidden_astronomy_3,-8.250224028427722,0.6852098753235243
hidden_astronomy_4,-5.156001139350931,0.5336383045372096
hidden_astronomy_5,-7.481538238959108,0.9833710520474679
hidden_astronomy_6,-6.681591972932906,0.5734245865722353
hidden_cooking_1,0.23434914172509086,0.5358667610335219
hidden_cooking_2,3.621431895062727,0.2811713755861323
hidden_cooking_3,2.329284307538266,2.0037021469046103
hidden_cooking_4,2.9976825834330163,0.3490844624755111
hidden_cooking_5,3.2548726239059698,0.40702118324366576
hidden_cooking_6,2.873253575783708,0.2797312282878055
hidden_ancient_history_1,-2.542420693721369,0.6347877846866447
hidden_ancient_history_2,-0.9310897101379721,1.5784208208316346
hidden_ancient_history_3,0.6337541683723295,0.8065964190180392
hidden_ancient_history_4,-2.6499852594628157,1.1768743400357922
hidden_ancient_history_5,1.8046403682910512,4.166824565972026
hidden_ancient_history_6,-1.5475647557189747,0.6445359281846975
