task_id,mu,sigma
hidden_cheese_1,0.0,0.5715241498974577
hidden_cheese_2,3.4970091879932683,1.1254615214520851
hidden_cheese_3,3.0364133023797835,0.26428000176074706
hidden_cheese_4,2.458306320591556,1.168349135144421
hidden_cheese_5,2.9766329203186483,0.2215939736811423
hidden_cheese_6,3.1880728910874185,0.5468636914825489
hidden_rainy_weather_1,1.0938685084087176,2.1444157204382335
hidden_rainy_weather_2,3.5300026903249857,1.1224536423094569
hidden_rainy_weather_3,3.0599550041638435,1.2793570890421515
hidden_rainy_weather_4,1.828026242425159,0.827426691525365
hidden_rainy_weather_5,3.7086505610920115,2.948247873327613
hidden_rainy_weather_6,3.0169916218056976,0.20327839332149628
hidden_cats_1,-7.469447759147488,0.5982188006339032
hidden_cats_2,-7.760450344925111,0.717754060774823
hidden_cats_3,-6.437559739606247,0.5027278450097691
hidden_cats_4,-5.505803837526199,0.5860700380285903
hidden_cats_5,-5.862195761647291,2.1818985684111483
hidden_cats_6,-2.9264595019949025,0.7393827316230104
hidden_classical_music_1,2.467797207606806,2.804540741012267
hidden_classical_music_2,1.737477427655004,0.8083524261435474
hidden_classical_music_3,2.8206048404613204,0.6535624500646403
hidden_classical_music_4,2.4100873566051497,0.25815013267469394
hidden_classical_music_5,2.444637241841199,1.3674793755392376
hidden_classical_music_6,3.6892540064287145,1.0150635399972239
hidden_gardening_1,2.827707122016222,1.1956351637195473
hidden_gardening_2,3.402727783928471,0.17942499056264272
hidden_gardening_3,3.0242017241848376,3.2464670979015646
hidden_gardening_4,2.8741741879107083,0.400394758936213
hidden_gardening_5,3.4730765578907987,0.7347141945743504
hidden_gardening_6,3.3900539787327775,1.6535083810589841
hidden_astronomy_1,1.9456171605263974,3.3811817502947865
hidden_astronomy_2,3.0020692016074695,1.0332462217195066
hidden_astronomy_3,2.8464692494165442,1.8446587416512423
hidden_astronomy_4,3.8519065011742915,1.715671990265402
hidden_astronomy_5,2.962189551421731,1.9063373857596058
hidden_astronomy_6,3.2546187887307108,0.1765949886553919
hidden_cooking_1,1.2654850781731144,0.4264974421395918
hidden_cooking_2,3.521589177336165,0.21762076109084594
hidden_cooking_3,3.0431913886515836,0.3081987221817549
hidden_cooking_4,3.431198075989447,1.727739310111076
hidden_cooking_5,3.483209655685425,2.3751907440138083
hidden_cooking_6,2.93959239563337,1.253476133577619
hidden_ancient_history_1,2.375721775435269,0.32658233131157355
hidden_ancient_history_2,2.758772782694647,0.7515186985705515
hidden_ancient_history_3,3.3476973245640083,0.9931738960556283
hidden_ancient_history_4,3.8300258484755885,1.516352622397015
hidden_ancient_history_5,3.8869988934916893,1.788702616435954
hidden_ancient_history_6,2.9728336270183835,0.25068518914356286
