condition,omitted_dataset,n_train_tasks,n_train_comparisons,n_zero_degree_removed,n_eval_tasks,converged,best_alpha,eval_r,utility_r,probe_cosine
baseline,,4000,37196,0,1000,True,21544.346900318822,0.81532384067679,1.0,1.0
omit_WILDCHAT,WILDCHAT,3001,21072,0,751,True,21544.346900318822,0.8325552784703587,0.9454328862802782,0.8304987245860121
omit_ALPACA,ALPACA,3000,20852,1,750,True,4641.588833612773,0.8352367093230859,0.9309309051528991,0.7051784071121883
omit_MATH,MATH,2996,21514,4,750,True,4641.588833612773,0.8091574831993857,0.9351077756948307,0.747781001068704
omit_BAILBENCH,BAILBENCH,3600,30656,0,899,True,21544.346900318822,0.7664419741155044,0.9901957345647654,0.9589974530716083
omit_STRESS_TEST,STRESS_TEST,3398,27081,0,850,True,4641.588833612773,0.8109599146374268,0.973742159498195,0.8010829941687486
